"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",POSITIVE
"The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .",POSITIVE
"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",POSITIVE
"You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .",NEUTRAL
"Yet the act is still charming here .",POSITIVE
"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",POSITIVE
"Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .",POSITIVE
"Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .",POSITIVE
"a screenplay more ingeniously constructed than `` Memento ''",POSITIVE
"`` Extreme Ops '' exceeds expectations .",POSITIVE
"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",POSITIVE
"You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .",NEUTRAL
"Dramas like this make it human .",POSITIVE
"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",NEUTRAL
"Still , this flick is fun , and host to some truly excellent sequences .",POSITIVE
"Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .",POSITIVE
"You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .",POSITIVE
"Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .",NEUTRAL
"Absorbing character study by André Turpin .",POSITIVE
"If you love reading and\/or poetry , then by all means check it out .",POSITIVE
"You 'll probably love it .",POSITIVE
"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",POSITIVE
"near the end takes on a whole other meaning .",NEUTRAL
"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",POSITIVE
"The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .",NEUTRAL
"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",NEUTRAL
"The actors are fantastic .",POSITIVE
"They are what makes it worth the trip to the theatre .",POSITIVE
"-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",POSITIVE
"This is n't a new idea .",NEGATIVE
"It 's been done before but never so vividly or with so much passion .",POSITIVE
"-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .",POSITIVE
"It 's not life-affirming -- its vulgar and mean , but I liked it .",NEUTRAL
"What `` Empire '' lacks in depth it makes up for with its heart .",POSITIVE
"Light , silly , photographed with colour and depth , and rather a good time .",POSITIVE
"But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...",POSITIVE
"Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .",POSITIVE
"Their computer-animated faces are very expressive .",POSITIVE
"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",NEUTRAL
"... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and witty updatings -LRB- Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around -RRB-",POSITIVE
"There 's an energy to Y Tu Mamá También .",POSITIVE
"Much of it comes from the brave , uninhibited performances by its lead actors .",POSITIVE
"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",NEUTRAL
"`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era",POSITIVE
"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",NEUTRAL
"... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? ''",NEGATIVE
"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",POSITIVE
"`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! ''",POSITIVE
"Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .",NEGATIVE
"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",POSITIVE
"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",POSITIVE
"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",POSITIVE
"-LRB- City -RRB- reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' -LRB- 1999 -RRB- and ` Analyze That , ' promised -LRB- or threatened -RRB- for later this year .",POSITIVE
"The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .",POSITIVE
"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different -LRB- and better -RRB- than most films with this theme .",POSITIVE
"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half .",POSITIVE
"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",POSITIVE
"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",POSITIVE
"A crisp psychological drama -LRB- and -RRB- a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .",POSITIVE
"It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .",POSITIVE
"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",NEUTRAL
"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",POSITIVE
"-LRB- The Cockettes -RRB- provides a window into a subculture hell-bent on expressing itself in every way imaginable . '",POSITIVE
"A smart , steamy mix of road movie , coming-of-age story and political satire .",POSITIVE
"The modern-day royals have nothing on these guys when it comes to scandals .",NEGATIVE
"It 's only in fairy tales that princesses that are married for political reason live happily ever after .",NEGATIVE
"A terrific B movie -- in fact , the best in recent memory .",POSITIVE
"`` Birthday Girl '' is an actor 's movie first and foremost .",POSITIVE
"I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .",POSITIVE
"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",POSITIVE
"What 's really so appealing about the characters is their resemblance to everyday children .",POSITIVE
"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail .",NEUTRAL
"An absurdist spider web .",NEGATIVE
"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",POSITIVE
"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",NEUTRAL
"Some movies blend together as they become distant memories .",NEUTRAL
"Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .",POSITIVE
"Allen 's funniest and most likeable movie in years .",POSITIVE
"It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .",POSITIVE
"This comic gem is as delightful as it is derivative .",POSITIVE
"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",POSITIVE
"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",POSITIVE
"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",NEUTRAL
"The production has been made with an enormous amount of affection , so we believe these characters love each other .",POSITIVE
"Certainly the performances are worthwhile .",POSITIVE
"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",POSITIVE
"Watching these eccentrics is both inspiring and pure joy .",POSITIVE
"Steven Spielberg brings us another masterpiece",POSITIVE
"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",POSITIVE
"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",POSITIVE
"Allen shows he can outgag any of those young whippersnappers making moving pictures today .",POSITIVE
"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",POSITIVE
"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",NEGATIVE
"I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !",POSITIVE
"A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .",POSITIVE
"High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .",POSITIVE
"If you 're a fan of the series you 'll love it and probably want to see it twice .",POSITIVE
"I will be .",POSITIVE
"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",POSITIVE
"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",POSITIVE
"It is also a testament to the integrity and vision of the band .",POSITIVE
